Id,cross_id,tgraph_id
021503,"[r30831,r31241,r34671]|[r30832,r31240,r34670]",21503
022201,"[r31460,r31466]|[r32227,r32516]",22201
026826,[r38339]|[r38340],26826
022935,"[r32387,r33887,r37311]|[r32386,r33886,r37312]",22935
021525,[r32383]|[r30854],21525
022930,"[r32380,r32389,r32400]|[r32381,r32382,r37339]",22930
021514,[r30843]|[r31231],21514
021511,[r31230]|[r30842],21511
022202,"[r31465,r36056]|[r31461,r36055]",22202
021518,"[r30846,r31249,r34676,r36057]|[r31250,r34675]",21518
022947,"[r37334,r37338]|[r32400,r32773]",22947
032986,[r46590]|[r48418],32986
032985,[r48417]|[r46589],32985
032995,[r46598]|[r46600],32995
032996,[r46601]|[r46599],32996
033074,[r46687]|[r46689],33074
033075,[r46690]|[r46688],33075
032877,[r46706]|[r46499],32877
032880,[r46500]|[r46707],32880
033088,[r77450]|[r46730],33088
033089,[r46731]|[r77451],33089
050440,[r72253]|[r72474],50440
050441,[r72473]|[r72254],50441
033003,"[r46613,r46614,r48911]|[r46612,r46615,r48912]",33003
033008,"[r46616,r47352,r48430,r50142]|[r46617,r47351,r48429,r50143]",33008
050734,"[r72597,r77693]|[r72598,r77689]",50734
050634,"[r72598,r77685]|[r72466,r72597]",50634
049989,[r71716]|[r71773],49989
049988,[r71772]|[r71715],49988
029884,"[r42273,r48441]|[r42272,r48440]",29884
032853,[r77465]|[r46479],32853
032854,[r46480]|[r77466],32854
030758,"[r43449,r43453]|[r43448,r43452]",30758
030522,[r43144]|[r43450],30522
028609,[r40903]|[r45262],28609
028602,[r40902]|[r40898],28602
028601,[r40897]|[r40901],28601
032950,"[r46554]|[r46711,r46715]",32950
033060,[r46673]|[r46671],33060
033059,[r46670]|[r46672],33059
034890,[r50028]|[r50027],34890
030525,"[r43149,r43858]|[r43449,r43857]",30525
031075,[r43855]|[r43856],31075
033160,[r46909]|[r46905],33160
033159,[r46904]|[r46908],33159
030219,[r42756]|[r42732],30219
029712,"[r42729,r42752]|[r42054,r45454]",29712
032155,[r45470]|[r45471],32155
034330,[r48926]|[r48925],34330
034377,"[r49019,r49023]|[r49018]",34377
028590,[r40888]|[r40886],28590
028591,[r40887]|[r40889],28591
031875,[r45271]|[r44945],31875
031874,[r44944]|[r45272],31874
032160,[r49701]|[r45480],32160
032163,[r45481]|[r49702],32163
028474,[r42041]|[r40782],28474
028465,"[r40776,r41682]|[r40775,r41684]",28465
034335,"[r48936]|[r48935,r48937]",34335
032178,[r45511]|[r45513],32178
032179,[r45514]|[r45512],32179
034749,[r49711]|[r49712],34749
030803,[r43528]|[r43527],30803
032172,[r45503]|[r45505],32172
032173,[r45506]|[r45504],32173
031080,"[r43863,r45505]|[r43864,r45506]",31080
027794,"[r40195,r41699,r46927]|[r40196,r41700,r46926]",27794
034958,"[r50164,r50167,r50168]|[r50165,r50166,r50169]",34958
027932,"[r40297,r40586]|[r42194,r42929]",27932
032177,[r50162]|[r45510],32177
032176,[r45509]|[r50163],32176
032175,[r45512]|[r45508],32175
032174,[r45507]|[r45511],32174
033187,[r46957]|[r46955],33187
033186,[r46954]|[r46956],33186
029869,"[r45529]|[r42250,r48929]",29869
029868,"[r42254,r48930]|[r42249]",29868
034086,[r48444]|[r48449],34086
034087,[r48448]|[r48445],34087
028457,"[r40777,r42123,r42566]|[r40770,r42122,r42567]",28457
029885,"[r42567,r42571,r46439]|[r42273,r42570,r46440]",29885
034080,[r48432]|[],34080
034078,[]|[r48431],34078
022995,"[r32461,r32462,r32465,r32467]|[r32460,r32463,r32464,r32466]",22995
022943,"[r32395,r32460,r36436]|[r32461,r36435]",22943
032997,"[r46600,r46688,r46725]|[r46601,r46687,r46724]",32997
024566,[r34673]|[r34671],24566
024565,[r34670]|[r34672],24565
021489,"[r30820,r30833,r38337]|[r30819,r30834,r38338]",21489
026216,"[r37309,r37312,r37318]|[r37310,r37311,r37317]",26216
021478,"[r30803,r30804,r30818]|[r30802,r30805,r30817]",21478
021502,"[r30832,r31575,r37304]|[r30831,r31576,r37303]",21502
022384,"[r32227,r32769]|[r31656,r32770]",22384
022920,"[r32370,r32376,r32516]|[r32369,r32371,r32375]",22920
021308,"[r30634,r31654]|[r31465,r31466]",21308
024022,"[r33890,r33891]|[r33892,r38339]",24022
024021,"[r33886,r33889,r33892]|[r33887,r33888,r33891]",24021
026226,"[r37337,r37339]|[r37335,r37338]",26226
022931,[r32382]|[r32388],22931
021527,[r30855]|[r32380],21527
021528,[r32381]|[r30856],21528
021513,[r31250]|[r30843],21513
021512,[r30842]|[r31249],21512
025460,[r36055]|[r36058],25460
025461,[r36059]|[r36056],25461
025462,"[r36058,r38356]|[r36057,r36059,r38355]",25462
021530,"[r30858,r31260,r34675]|[r30857,r31259,r34676,r34677]",21530
026225,[r47351]|[r37334],26225
025675,[r36435]|[r46706],25675
025676,[r46707]|[r36436],25676
054257,[r77448]|[r77450],54257
054258,[r77451]|[r77449],54258
050439,"[r72254,r72283,r77512]|[r72253,r72282,r77694]",50439
033004,[r46612]|[r46616],33004
033005,[r46617]|[r46613],33005
033006,[r46693]|[r46614],33006
033007,[r46615]|[r46694],33007
034077,"[r48425,r48428,r48429]|[r48426,r48427,r48430]",34077
026228,[r37336]|[r47352],26228
054342,"[r77694,r77695]|[r77693,r77696]",54342
050633,"[r72466,r77696]|[r72465,r77695]",50633
049985,"[r71714,r71715,r71781]|[r71713,r71716,r71780]",49985
049794,"[r71528,r73911,r77466]|[r73912,r77465]",49794
030759,[r43448]|[r49740],30759
030521,[r49742]|[r43144],30521
028616,[r45262]|[r40908],28616
028608,[r40905]|[r40902],28608
028607,[r40901]|[r40904],28607
025686,[r46715]|[r36446],25686
025681,[r46711]|[r36441],25681
033062,[r46692]|[r46673],33062
033061,[r46672]|[r46691],33061
033014,[r46620]|[r50028],33014
031076,[r43857]|[r43859],31076
031077,[r43860]|[r43858],31077
033163,[r46911]|[r46909],33163
033162,[r46908]|[r46910],33162
030220,"[r42732,r43015]|[r42761,r43016]",30220
032146,"[r45454,r46943]|[r48927]",32146
030216,"[r45453]|[r42729,r46942]",30216
034379,"[r49022]|[r49023,r49024]",34379
034378,"[r49021,r49024]|[r49019,r49020]",34378
028588,[r40886]|[r40884],28588
028589,[r40885]|[r40887],28589
032055,"[r45272,r46910,r46972,r50150]|[r45271,r46911,r46971,r50151]",32055
028472,[r40782]|[r40781],28472
027936,"[r40301,r42593]|[r40302,r41682,r42594]",27936
028463,[r40773]|[r40776],28463
028464,[r40775]|[r40774],28464
029381,"[r48934,r48935]|[r41694]",29381
034334,"[r48932,r48937]|[r48933,r48934]",34334
033191,[r46958]|[r49711],33191
030805,[r43529]|[r43528],30805
033173,[r46926]|[r46928],33173
033174,[r46929]|[r46927],33174
029386,[r41700]|[r45499],29386
029385,[r45500]|[r41699],29385
033195,[r46963]|[r50164],33195
